                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.1601,                    0.5,                      1,                0.06498,                 0.0937,                 0.0007,                 0.0007
                      1,                0.14414,                    0.5,                      1,                0.06501,               0.086493,              0.0014926,              0.0014926
                      2,                0.12372,                    0.5,                      1,                0.06516,               0.079277,              0.0022772,              0.0022772
                      3,                0.11669,                    0.5,                      1,                0.06571,               0.072054,               0.003054,               0.003054
                      4,                0.10233,                    0.5,                      1,                0.06672,               0.064823,              0.0038228,              0.0038228
                      5,                0.08619,                    0.5,                      1,                0.06715,               0.057584,              0.0045837,              0.0045837
                      6,                0.07553,                0.66667,                      1,                0.06143,               0.050337,              0.0053367,              0.0053367
                      7,                0.06291,                0.66667,                      1,                0.05771,               0.043082,              0.0060817,              0.0060817
                      8,                0.05812,                0.66667,                      1,                0.05455,               0.035819,              0.0068188,              0.0068188
                      9,                0.04396,                0.66667,                      1,                0.05497,               0.028548,              0.0075481,              0.0075481
                     10,                0.02855,                0.66667,                      1,                0.05601,               0.021269,              0.0082693,              0.0082693
                     11,                0.02557,                0.66667,                      1,                0.05379,               0.013983,              0.0089827,              0.0089827
                     12,                0.02684,                0.66667,                      1,                0.05044,               0.009406,               0.009406,               0.009406
                     13,                0.01886,                0.66667,                      1,                  0.048,               0.009406,               0.009406,               0.009406
                     14,                0.02151,                0.83333,                      1,                0.04123,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.0199,                0.66667,                      1,                0.04944,               0.009307,               0.009307,               0.009307
                     16,                0.01447,                0.66667,                      1,                0.05388,              0.0092575,              0.0092575,              0.0092575
                     17,                  0.012,                0.66667,                      1,                0.05541,               0.009208,               0.009208,               0.009208
                     18,                 0.0274,                0.66667,                      1,                0.06141,              0.0091585,              0.0091585,              0.0091585
                     19,                0.02583,                0.83333,                      1,                0.04392,               0.009109,               0.009109,               0.009109
                     20,                0.02642,                0.83333,                      1,                0.04174,              0.0090595,              0.0090595,              0.0090595
                     21,                0.00296,                      1,                      1,                0.03466,                0.00901,                0.00901,                0.00901
                     22,                0.01607,                0.83333,                      1,                0.04429,              0.0089605,              0.0089605,              0.0089605
                     23,                0.01722,                0.83333,                      1,                0.04524,               0.008911,               0.008911,               0.008911
                     24,                0.02402,                0.83333,                      1,                0.04533,              0.0088615,              0.0088615,              0.0088615
                     25,                0.01247,                0.83333,                      1,                0.04513,               0.008812,               0.008812,               0.008812
                     26,                0.01802,                0.83333,                      1,                0.04432,              0.0087625,              0.0087625,              0.0087625
                     27,                0.00363,                0.83333,                      1,                0.04549,               0.008713,               0.008713,               0.008713
                     28,                0.00351,                0.83333,                      1,                0.04513,              0.0086635,              0.0086635,              0.0086635
                     29,                0.00299,                0.83333,                      1,                0.04407,               0.008614,               0.008614,               0.008614
                     30,                0.01094,                0.83333,                      1,                0.03933,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.0105,                0.83333,                      1,                0.03613,               0.008515,               0.008515,               0.008515
                     32,                0.00273,                0.83333,                      1,                0.04356,              0.0084655,              0.0084655,              0.0084655
                     33,                0.00822,                0.83333,                      1,                0.04261,               0.008416,               0.008416,               0.008416
                     34,                0.00858,                0.83333,                      1,                0.04336,              0.0083665,              0.0083665,              0.0083665
                     35,                0.00209,                0.83333,                      1,                0.04566,               0.008317,               0.008317,               0.008317
                     36,                0.00112,                0.83333,                      1,                0.04572,              0.0082675,              0.0082675,              0.0082675
                     37,                0.00786,                0.83333,                      1,                0.04499,               0.008218,               0.008218,               0.008218
                     38,                0.00053,                0.83333,                      1,                0.04834,              0.0081685,              0.0081685,              0.0081685
                     39,                0.00209,                0.83333,                      1,                0.04655,               0.008119,               0.008119,               0.008119
                     40,                0.00047,                0.83333,                      1,                0.04842,              0.0080695,              0.0080695,              0.0080695
                     41,                0.00051,                0.83333,                      1,                0.04634,                0.00802,                0.00802,                0.00802
                     42,                0.00719,                0.83333,                      1,                0.04458,              0.0079705,              0.0079705,              0.0079705
                     43,                0.00158,                0.83333,                      1,                0.04523,               0.007921,               0.007921,               0.007921
                     44,                0.00084,                0.83333,                      1,                0.04515,              0.0078715,              0.0078715,              0.0078715
                     45,                0.00773,                0.83333,                      1,                0.04501,               0.007822,               0.007822,               0.007822
                     46,                0.00043,                0.83333,                      1,                0.04846,              0.0077725,              0.0077725,              0.0077725
                     47,                0.00747,                0.83333,                      1,                0.04529,               0.007723,               0.007723,               0.007723
                     48,                0.00298,                0.83333,                      1,                0.04619,              0.0076735,              0.0076735,              0.0076735
                     49,                0.00062,                0.83333,                      1,                0.05045,               0.007624,               0.007624,               0.007624
                     50,                0.00059,                0.83333,                      1,                0.04653,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.0005,                0.66667,                      1,                0.05208,               0.007525,               0.007525,               0.007525
                     52,                0.00192,                0.83333,                      1,                0.04793,              0.0074755,              0.0074755,              0.0074755
                     53,                0.00691,                0.83333,                      1,                0.04425,               0.007426,               0.007426,               0.007426
                     54,                0.00042,                0.83333,                      1,                0.04939,              0.0073765,              0.0073765,              0.0073765
                     55,                0.00033,                0.83333,                      1,                0.04893,               0.007327,               0.007327,               0.007327
                     56,                0.00839,                0.83333,                      1,                0.04339,              0.0072775,              0.0072775,              0.0072775
                     57,                0.00652,                0.83333,                      1,                0.04237,               0.007228,               0.007228,               0.007228
                     58,                0.00078,                0.83333,                      1,                0.04485,              0.0071785,              0.0071785,              0.0071785
                     59,                0.00056,                0.66667,                      1,                0.05089,               0.007129,               0.007129,               0.007129
                     60,                0.00645,                0.83333,                      1,                0.04547,              0.0070795,              0.0070795,              0.0070795
                     61,                0.00113,                0.66667,                      1,                0.05653,                0.00703,                0.00703,                0.00703
                     62,                0.00635,                0.83333,                      1,                0.04729,              0.0069805,              0.0069805,              0.0069805
                     63,                0.00051,                0.66667,                      1,                0.05157,               0.006931,               0.006931,               0.006931
                     64,                0.00045,                0.66667,                      1,                0.05403,              0.0068815,              0.0068815,              0.0068815
                     65,                0.00185,                0.66667,                      1,                0.05526,               0.006832,               0.006832,               0.006832
                     66,                0.00585,                0.83333,                      1,                  0.048,              0.0067825,              0.0067825,              0.0067825
                     67,                0.00074,                0.66667,                      1,                0.05108,               0.006733,               0.006733,               0.006733
                     68,                0.00595,                0.66667,                      1,                0.05491,              0.0066835,              0.0066835,              0.0066835
                     69,                0.00565,                0.83333,                      1,                0.04887,               0.006634,               0.006634,               0.006634
                     70,                0.00567,                0.83333,                      1,                0.04437,              0.0065845,              0.0065845,              0.0065845
                     71,                0.00583,                0.83333,                      1,                0.04358,               0.006535,               0.006535,               0.006535
                     72,                0.00077,                0.66667,                      1,                 0.0525,              0.0064855,              0.0064855,              0.0064855
                     73,                0.00563,                0.83333,                      1,                0.04908,               0.006436,               0.006436,               0.006436
                     74,                 0.0053,                0.83333,                      1,                0.04768,              0.0063865,              0.0063865,              0.0063865
                     75,                0.00484,                0.83333,                      1,                 0.0442,               0.006337,               0.006337,               0.006337
                     76,                0.00478,                0.83333,                      1,                 0.0466,              0.0062875,              0.0062875,              0.0062875
                     77,                0.00041,                0.66667,                      1,                0.05211,               0.006238,               0.006238,               0.006238
                     78,                0.00033,                0.66667,                      1,                0.05608,              0.0061885,              0.0061885,              0.0061885
                     79,                0.00054,                0.66667,                      1,                0.05818,               0.006139,               0.006139,               0.006139
                     80,                0.00441,                0.66667,                      1,                0.05341,              0.0060895,              0.0060895,              0.0060895
                     81,                0.00624,                0.83333,                      1,                0.04698,                0.00604,                0.00604,                0.00604
                     82,                 0.0053,                0.83333,                      1,                0.04756,              0.0059905,              0.0059905,              0.0059905
                     83,                0.00416,                0.83333,                      1,                0.04039,               0.005941,               0.005941,               0.005941
                     84,                0.00079,                0.66667,                      1,                0.05822,              0.0058915,              0.0058915,              0.0058915
                     85,                0.00359,                0.66667,                      1,                0.05427,               0.005842,               0.005842,               0.005842
                     86,                0.00046,                0.66667,                      1,                0.05891,              0.0057925,              0.0057925,              0.0057925
                     87,                0.00061,                0.66667,                      1,                0.05646,               0.005743,               0.005743,               0.005743
                     88,                 0.0008,                0.66667,                      1,                0.05694,              0.0056935,              0.0056935,              0.0056935
                     89,                0.00336,                0.83333,                      1,                0.04902,               0.005644,               0.005644,               0.005644
                     90,                 0.0006,                0.66667,                      1,                0.05395,              0.0055945,              0.0055945,              0.0055945
                     91,                0.00323,                0.83333,                      1,                0.04598,               0.005545,               0.005545,               0.005545
                     92,                 0.0006,                0.66667,                      1,                 0.0578,              0.0054955,              0.0054955,              0.0054955
                     93,                0.00364,                0.66667,                      1,                0.05161,               0.005446,               0.005446,               0.005446
                     94,                0.00084,                0.66667,                      1,                0.05782,              0.0053965,              0.0053965,              0.0053965
                     95,                0.00318,                0.66667,                      1,                0.05144,               0.005347,               0.005347,               0.005347
                     96,                 0.0029,                0.83333,                      1,                0.04419,              0.0052975,              0.0052975,              0.0052975
                     97,                0.00064,                0.66667,                      1,                0.05534,               0.005248,               0.005248,               0.005248
                     98,                0.00331,                0.83333,                      1,                0.04845,              0.0051985,              0.0051985,              0.0051985
                     99,                0.00086,                0.66667,                      1,                0.05559,               0.005149,               0.005149,               0.005149
                    100,                0.00066,                0.66667,                      1,                0.05409,              0.0050995,              0.0050995,              0.0050995
                    101,                0.00102,                0.66667,                      1,                0.05675,                0.00505,                0.00505,                0.00505
                    102,                0.00299,                0.66667,                      1,                0.05195,              0.0050005,              0.0050005,              0.0050005
                    103,                0.00387,                0.83333,                      1,                0.04695,               0.004951,               0.004951,               0.004951
                    104,                0.00286,                0.83333,                      1,                 0.0454,              0.0049015,              0.0049015,              0.0049015
                    105,                0.00095,                0.66667,                      1,                 0.0554,               0.004852,               0.004852,               0.004852
                    106,                0.00086,                0.66667,                      1,                0.05883,              0.0048025,              0.0048025,              0.0048025
                    107,                0.00251,                0.66667,                      1,                0.05638,               0.004753,               0.004753,               0.004753
                    108,                0.00321,                0.66667,                      1,                0.05206,              0.0047035,              0.0047035,              0.0047035
                    109,                0.00302,                0.66667,                      1,                0.05638,               0.004654,               0.004654,               0.004654
                    110,                0.00068,                0.66667,                      1,                0.05807,              0.0046045,              0.0046045,              0.0046045
                    111,                0.00064,                0.66667,                      1,                0.05646,               0.004555,               0.004555,               0.004555
                    112,                0.00312,                0.83333,                      1,                0.04619,              0.0045055,              0.0045055,              0.0045055
                    113,                0.00267,                0.83333,                      1,                0.04151,               0.004456,               0.004456,               0.004456
                    114,                0.00331,                0.83333,                      1,                0.04176,              0.0044065,              0.0044065,              0.0044065
                    115,                0.00305,                      1,                      1,                0.03463,               0.004357,               0.004357,               0.004357
                    116,                0.00135,                0.83333,                      1,                0.04336,              0.0043075,              0.0043075,              0.0043075
                    117,                0.00292,                0.83333,                      1,                0.04798,               0.004258,               0.004258,               0.004258
                    118,                 0.0031,                0.83333,                      1,                0.04008,              0.0042085,              0.0042085,              0.0042085
                    119,                0.00087,                0.83333,                      1,                0.04603,               0.004159,               0.004159,               0.004159
                    120,                0.00076,                0.66667,                      1,                0.05181,              0.0041095,              0.0041095,              0.0041095
                    121,                0.00088,                0.66667,                      1,                0.05495,                0.00406,                0.00406,                0.00406
                    122,                0.00251,                0.83333,                      1,                0.04707,              0.0040105,              0.0040105,              0.0040105
                    123,                0.00272,                0.83333,                      1,                 0.0426,               0.003961,               0.003961,               0.003961
                    124,                0.00266,                0.66667,                      1,                0.05242,              0.0039115,              0.0039115,              0.0039115
                    125,                0.00277,                0.83333,                      1,                0.04472,               0.003862,               0.003862,               0.003862
                    126,                0.00608,                0.83333,                      1,                0.03932,              0.0038125,              0.0038125,              0.0038125
                    127,                0.00573,                0.83333,                      1,                0.03648,               0.003763,               0.003763,               0.003763
                    128,                0.00109,                0.66667,                      1,                0.05202,              0.0037135,              0.0037135,              0.0037135
                    129,                0.00332,                0.83333,                      1,                0.04445,               0.003664,               0.003664,               0.003664
                    130,                 0.0046,                0.83333,                      1,                0.03924,              0.0036145,              0.0036145,              0.0036145
                    131,                0.00282,                0.83333,                      1,                0.03721,               0.003565,               0.003565,               0.003565
                    132,                0.00099,                0.83333,                      1,                0.04695,              0.0035155,              0.0035155,              0.0035155
                    133,                0.00299,                0.83333,                      1,                0.04169,               0.003466,               0.003466,               0.003466
                    134,                0.00151,                0.66667,                      1,                0.05205,              0.0034165,              0.0034165,              0.0034165
                    135,                0.00279,                0.83333,                      1,                 0.0457,               0.003367,               0.003367,               0.003367
                    136,                0.00381,                0.83333,                      1,                0.04673,              0.0033175,              0.0033175,              0.0033175
                    137,                0.00271,                0.83333,                      1,                0.04248,               0.003268,               0.003268,               0.003268
                    138,                0.00121,                0.83333,                      1,                0.04698,              0.0032185,              0.0032185,              0.0032185
                    139,                0.00097,                0.83333,                      1,                0.04034,               0.003169,               0.003169,               0.003169
                    140,                0.00291,                0.83333,                      1,                 0.0387,              0.0031195,              0.0031195,              0.0031195
                    141,                0.00079,                0.83333,                      1,                0.04642,                0.00307,                0.00307,                0.00307
                    142,                0.00278,                0.83333,                      1,                0.04006,              0.0030205,              0.0030205,              0.0030205
                    143,                0.00066,                0.66667,                      1,                0.05226,               0.002971,               0.002971,               0.002971
                    144,                0.00145,                0.66667,                      1,                0.05131,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.0073,                0.83333,                      1,                0.04143,               0.002872,               0.002872,               0.002872
                    146,                0.00105,                      1,                      1,                0.03517,              0.0028225,              0.0028225,              0.0028225
                    147,                  0.001,                0.66667,                      1,                0.05004,               0.002773,               0.002773,               0.002773
                    148,                0.00356,                      1,                      1,                0.03746,              0.0027235,              0.0027235,              0.0027235
                    149,                0.00129,                0.66667,                      1,                0.04472,               0.002674,               0.002674,               0.002674
                    150,                0.00089,                0.66667,                      1,                0.04413,              0.0026245,              0.0026245,              0.0026245
                    151,                0.00423,                      1,                      1,                0.03547,               0.002575,               0.002575,               0.002575
                    152,                0.00085,                0.83333,                      1,                0.04202,              0.0025255,              0.0025255,              0.0025255
                    153,                0.00276,                      1,                      1,                0.03552,               0.002476,               0.002476,               0.002476
                    154,                0.00078,                0.66667,                      1,                0.05586,              0.0024265,              0.0024265,              0.0024265
                    155,                0.00343,                0.66667,                      1,                0.04569,               0.002377,               0.002377,               0.002377
                    156,                0.00354,                      1,                      1,                0.03277,              0.0023275,              0.0023275,              0.0023275
                    157,                0.00351,                      1,                      1,                0.03108,               0.002278,               0.002278,               0.002278
                    158,                0.00065,                      1,                      1,                0.03816,              0.0022285,              0.0022285,              0.0022285
                    159,                0.00118,                0.66667,                      1,                0.04857,               0.002179,               0.002179,               0.002179
                    160,                 0.0028,                      1,                      1,                0.03912,              0.0021295,              0.0021295,              0.0021295
                    161,                0.00346,                0.66667,                      1,                0.04928,                0.00208,                0.00208,                0.00208
                    162,                0.00298,                0.83333,                      1,                0.04243,              0.0020305,              0.0020305,              0.0020305
                    163,                0.00069,                0.66667,                      1,                0.05361,               0.001981,               0.001981,               0.001981
                    164,                0.00071,                0.66667,                      1,                0.05556,              0.0019315,              0.0019315,              0.0019315
                    165,                0.00209,                0.66667,                      1,                0.05725,               0.001882,               0.001882,               0.001882
                    166,                0.00287,                0.83333,                      1,                0.04636,              0.0018325,              0.0018325,              0.0018325
                    167,                0.00061,                0.66667,                      1,                0.05142,               0.001783,               0.001783,               0.001783
                    168,                0.00295,                0.66667,                      1,                0.05764,              0.0017335,              0.0017335,              0.0017335
                    169,                0.00335,                0.66667,                      1,                0.05091,               0.001684,               0.001684,               0.001684
                    170,                0.00306,                0.83333,                      1,                0.04047,              0.0016345,              0.0016345,              0.0016345
                    171,                0.00283,                      1,                      1,                0.03354,               0.001585,               0.001585,               0.001585
                    172,                0.00064,                0.66667,                      1,                0.04978,              0.0015355,              0.0015355,              0.0015355
                    173,                0.00284,                0.83333,                      1,                0.04129,               0.001486,               0.001486,               0.001486
                    174,                0.00095,                0.66667,                      1,                0.05394,              0.0014365,              0.0014365,              0.0014365
                    175,                0.00366,                0.66667,                      1,                0.04841,               0.001387,               0.001387,               0.001387
                    176,                  0.003,                0.83333,                      1,                0.04044,              0.0013375,              0.0013375,              0.0013375
                    177,                0.00063,                0.66667,                      1,                0.04893,               0.001288,               0.001288,               0.001288
                    178,                0.00398,                0.83333,                      1,                0.04102,              0.0012385,              0.0012385,              0.0012385
                    179,                0.00094,                0.66667,                      1,                 0.0489,               0.001189,               0.001189,               0.001189
                    180,                0.00314,                0.83333,                      1,                0.04132,              0.0011395,              0.0011395,              0.0011395
                    181,                0.00266,                      1,                      1,                0.03386,                0.00109,                0.00109,                0.00109
                    182,                0.00081,                0.83333,                      1,                0.04791,              0.0010405,              0.0010405,              0.0010405
                    183,                0.00283,                0.83333,                      1,                0.04528,               0.000991,               0.000991,               0.000991
                    184,                0.00069,                0.66667,                      1,                0.05149,              0.0009415,              0.0009415,              0.0009415
                    185,                0.00294,                0.83333,                      1,                0.04077,               0.000892,               0.000892,               0.000892
                    186,                0.00276,                      1,                      1,                0.03281,              0.0008425,              0.0008425,              0.0008425
                    187,                0.00303,                      1,                      1,                0.03339,               0.000793,               0.000793,               0.000793
                    188,                0.00272,                      1,                      1,                0.03212,              0.0007435,              0.0007435,              0.0007435
                    189,                0.00151,                0.83333,                      1,                0.04275,               0.000694,               0.000694,               0.000694
                    190,                0.00275,                0.83333,                      1,                0.03875,              0.0006445,              0.0006445,              0.0006445
                    191,                 0.0028,                0.83333,                      1,                0.03992,               0.000595,               0.000595,               0.000595
                    192,                0.00256,                      1,                      1,                0.03531,              0.0005455,              0.0005455,              0.0005455
                    193,                0.00406,                0.66667,                      1,                0.04911,               0.000496,               0.000496,               0.000496
                    194,                 0.0027,                0.83333,                      1,                0.04508,              0.0004465,              0.0004465,              0.0004465
                    195,                0.00061,                0.66667,                      1,                0.05518,               0.000397,               0.000397,               0.000397
                    196,                0.00061,                0.66667,                      1,                0.05954,              0.0003475,              0.0003475,              0.0003475
                    197,                0.00082,                0.66667,                      1,                0.05798,               0.000298,               0.000298,               0.000298
                    198,                0.00258,                0.83333,                      1,                0.04653,              0.0002485,              0.0002485,              0.0002485
                    199,                 0.0027,                0.83333,                      1,                 0.0376,               0.000199,               0.000199,               0.000199
